index,date,close,diff,open,high,low,volume,updown,등락률,날짜,언론사,제목,긍부정,링크
1,2022-11-16,44800,150,44900,45450,44500,466659,0.002232143,1,2022-11-20,게임뷰,"[현장] 카카오게임즈, 마지막 날 '지스타 2022' 관전 포인트",2,http://www.gamevu.co.kr/news/articleView.html?idxno=25113
2,2022-11-16,44800,150,44900,45450,44500,466659,0.002232143,1,2022-11-20,EBN,"[지스타 '22] 카카오게임즈, 차별화 무장 개발 3종 '기대감 UP'",2,https://www.ebn.co.kr/news/view/1555555/?sc=Naver
3,2022-11-16,44800,150,44900,45450,44500,466659,0.002232143,1,2022-11-20,에너지경제,"[지스타 2022] 카카오게임즈 부스, 신작 시연 대기자로 ‘인산인해’",2,https://www.ekn.kr/web/view.php?key=20221120010003636
4,2022-11-16,44800,150,44900,45450,44500,466659,0.002232143,1,2022-11-20,에너지경제,"[지스타 2022] 카카오게임즈 부스, 신작 시연 대기자로 ‘인산인해’",2,https://www.ekn.kr/web/view.php?key=20221120010003636
5,2022-11-16,44800,150,44900,45450,44500,466659,0.002232143,1,2022-11-20,EBN,"[지스타 '22] 카카오게임즈, 차별화 무장 개발 3종 '기대감 UP'",2,https://www.ebn.co.kr/news/view/1555555/?sc=Naver
6,2022-11-16,44800,150,44900,45450,44500,466659,0.002232143,1,2022-11-20,게임뷰,"[현장] 카카오게임즈, 마지막 날 '지스타 2022' 관전 포인트",2,http://www.gamevu.co.kr/news/articleView.html?idxno=25113
7,2022-11-16,44800,150,44900,45450,44500,466659,0.002232143,1,2022-11-19,포모스,"[지스타]카카오게임즈 부스, 게임으로 가득 채웠다",2,https://www.fomos.kr/redirect/news_view?news_cate_id=7&entry_id=116197
8,2022-11-16,44800,150,44900,45450,44500,466659,0.002232143,1,2022-11-19,게임메카,"[포토] 신작 4종 캐릭터 한 자리에, 카카오게임즈 코스프레",2,https://www.gamemeca.com/mv.php?inflow=naver_s&gid=1688841
9,2022-11-16,44800,150,44900,45450,44500,466659,0.002232143,1,2022-11-19,톱데일리,"[지스타 2022 ] 카카오게임즈, 퍼블리싱 신작 3종 출격 초읽기",2,https://www.topdaily.kr/articles/92221
10,2022-11-16,44800,150,44900,45450,44500,466659,0.002232143,1,2022-11-19,인벤,"[포토] ""두둥실 두둥실 두둥실"" 카카오게임즈 지스타 부스",2,https://www.inven.co.kr/webzine/news/?news=278908
11,2022-11-16,44800,150,44900,45450,44500,466659,0.002232143,1,2022-11-19,디스이즈게임,"[지스타 2022] ""생존 게임의 계보를 이어가고 싶다"", 카카오게임즈 '디스테라'",2,https://www.thisisgame.com/webzine/special/nboard/5/?n=162360
12,2022-11-16,44800,150,44900,45450,44500,466659,0.002232143,1,2022-11-19,게임포커스,"[지스타22]얼리액세스 앞둔 카카오게임즈 ‘디스테라’, 생존 게임 특유의 진입장벽 낮췄다",2,http://gamefocus.co.kr/detail.php?number=135992
13,2022-11-16,44800,150,44900,45450,44500,466659,0.002232143,1,2022-11-19,테크M,"[지스타 2022] ""중세 북유럽 다음은 미래로"" 카카오 아레스가 주목받는 이유",2,https://www.techm.kr/news/articleView.html?idxno=103930
14,2022-11-16,44800,150,44900,45450,44500,466659,0.002232143,1,2022-11-19,게임조선,"[지스타22] 카카오게임즈, 신작 3종 시연존 마련, '아키에이지2' 깜짝 발표로 눈길",2,https://www.gamechosun.co.kr/webzine/article/view.php?no=190609
